google_search,lon,lat
"5th Street And Neches Austin, TX",-97.7385889,30.265843
"306 East 6th Street Austin, TX",-97.7399808,30.2675571
"East 6th Street At Congress Avenue Austin, TX",-97.742813,30.268066
"700 Block Neches Austin, TX",-97.7378913,30.267853
"1000 Block Waller Creek Austin, TX",-97.729585,30.268345
"600 Block Waller Creek Austin, TX",-97.7305067,30.26441
"East 8th Street And Ih 35 Service Road Austin, TX",-97.7347183,30.2683258
"320  East 6th Street Austin, TX",-97.7395692,30.2674455
"313 East 6th Street Austin, TX",-97.7400364,30.2669306
"400 Block East 7th Street Austin, TX",-97.7376003,30.2679491
"500 Block Sabine Street Austin, TX",-97.7365336,30.2652668
"600 Congress Austin, TX",-97.7431606,30.2686309
"700 East 5th Street Austin, TX",-97.7364456,30.265243
"500 Block Sabine Austin, TX",-97.7365336,30.2652668
"710 Red River Street Austin, TX",-97.7368537,30.2680595
"102 West 6th Street Austin, TX",-97.7428471,30.2680751
"800 East 7th Street Austin, TX",-97.7338578,30.2665765
"715 East 8th Street Austin, TX",-97.7347478,30.2675216
"600 Red River Austin, TX",-97.7372013,30.2666132
"500 Block Of Neches Austin, TX",-97.7385855,30.2658524
"300 Block West 2nd Street Austin, TX",-97.7465951,30.2649838
"304 East 7th Street Austin, TX",-97.7394765,30.2684973
"East 6th Street At Trinity Austin, TX",-97.739335,30.267068
"305 East 6th Street Austin, TX",-97.7402523,30.2671171
"314 West 6th Street Austin, TX",-97.7460075,30.2689837
"9th Street And Congress Avenue Austin, TX",-97.7417729,30.2708576
"300 Block 6th Street Austin, TX",-97.7457602,30.2691526
"611 Congress Avenue Austin, TX",-97.7422007,30.2683701
"517 Congress Avenue Austin, TX",-97.7425148,30.2676601
"500 Block East 9th Street Austin, TX",-97.7371944,30.2695941
"100 Block West Cesar Chavez Austin, TX",-97.745112,30.2636883
"603 Sabine Austin, TX",-97.7358353,30.2665073
"718 East 6th Street Austin, TX",-97.735128,30.266174
"East 6th Street And Red River Street Austin, TX",-97.7371869,30.266475
"1917 Nash Hernandez Road Austin, TX",-97.730179,30.2504847
"800 Block Neches Street Austin, TX",-97.7375594,30.2686486
"800 Block Red River Austin, TX",-97.7365015,30.2683569
"800 Block Brazos Austin, TX",-97.7410312,30.2699299
"East 6th Street And Ih 35 Service Road Austin, TX",-97.7334166,30.2651723
"800 East 6th Street Austin, TX",-97.7341674,30.2656502
"505 Neches Street Austin, TX",-97.7382329,30.266164
"Neches Street And East 8th Street Austin, TX",-97.737563,30.268639
"Holly Street At Ih 35 Austin, TX",-97.7227868,30.2518902
"515 South Congress Avenue Austin, TX",-97.7464659,30.2559126
"1700 Block Waller Creek Austin, TX",-97.7281024,30.2943866
"5th Street And Congress Avenue Austin, TX",-97.743156,30.2671174
"East 6th Street and San Jacinto Street Austin, TX",-97.7404847,30.267709
"515 Congress Avenue Austin, TX",-97.7426039,30.2677416
"600  Neches Street Austin, TX",-97.7381057,30.2668634
"100 Block East 4th Street and Congress Avenue Austin, TX",-97.7433828,30.2662786
"East 6th Street and Trinity Street Austin, TX",-97.739335,30.267068
"600 Block North Ih 35 Service Road And and East 6th Street Austin, TX",-97.5906901,30.8529411
"400 East 7th Street Austin, TX",-97.7376003,30.2679491
"East 6th Street and Neches Street Austin, TX",-97.738247,30.266782
"500 Block Brazos Street and East 6th Street Austin, TX",-97.7417425,30.267012
"601 Congress Avenue Austin, TX",-97.742813,30.268066
"600 East 4th Street Austin, TX",-97.737249,30.264751
"600 Neches Street Austin, TX",-97.7381057,30.2668634
"700 Trinity Street Austin, TX",-97.739019,30.2682957
"316 Congress Avenue Austin, TX",-97.7439195,30.2660066
"100 East 6th Street Austin, TX",-97.7425372,30.2682647
"600 Sabine Austin, TX",-97.7362596,30.2663927
"7th Street At North Ih 35 Austin, TX",-97.7346772,30.2668223
"East 6th Street and Congress Avenue Austin, TX",-97.742813,30.268066
"Congress At 3rd Street Austin, TX",-97.7438459,30.2652644
"1100 Block Waller Creek Austin, TX",-97.7289174,30.2690746
"600 Block Red River  ST Austin, TX",-97.7372013,30.2666132
"6th Street And Red River Street Austin, TX",-97.7371869,30.266475
"NA Austin, TX",-97.7426282,30.2676875
"6th Street And Brazos Street Austin, TX",-97.741483,30.2676817
"6th Street And San Jacinto Austin, TX",-97.7404088,30.2673868
"600 Block East Congress Austin, TX",-97.7431606,30.2686309
"800 Block Holly Street Austin, TX",-97.7362316,30.2570108
"East 7th Street At Trinity Street Austin, TX",-97.7389915,30.2680197
"5th Street At Brazos Street Austin, TX",-97.7418369,30.266756
"East 4th Street And Ih 35 Austin, TX",-97.7357078,30.2640672
"200 Block Red River Street Austin, TX",-97.7386301,30.2625523
"9th At Congress Austin, TX",-97.7417729,30.2708576
"600 Block Brazos Lane Austin, TX",-97.7413846,30.2679291
"200 East 6th Street Austin, TX",-97.7411186,30.2678743
"6th Street And San Jacinto Street Austin, TX",-97.7404847,30.267709
"400 Block Sabine Austin, TX",-97.7367783,30.2643683
"700 Red River Austin, TX",-97.736955,30.267771
"6th Street And Trnity Street Austin, TX",-97.739335,30.267068
"219 East 6th Street Austin, TX",-97.7408003,30.2672438
"8th Street And Congress Avenue Austin, TX",-97.7421066,30.2699197
"East 2nd Street And Congress Avenue Austin, TX",-97.744197,30.26432
"San Jacinto Boulevard And East 8th Stree Austin, TX",-97.739695,30.269235
"600 Block North I H 35  Service Road Austin, TX",-97.7146281,30.3033553
"721 East 6th Street Austin, TX",-97.735393,30.265733
"East 7th Street And Ih 35 Service Road Austin, TX",-97.735299,30.266895
"700 Congress Avenue Austin, TX",-97.7428373,30.269273
"600 Block Neches Steet Austin, TX",-97.7381057,30.2668634
